sku,date,demand_units,category,stockout_flag
1001|38,2024-06-05,17.80,5,0
1001|38,2024-06-06,20.14,5,0
1001|38,2024-06-07,16.05,5,0
1001|38,2024-06-08,21.08,5,0
1001|38,2024-06-09,26.73,5,0
1001|38,2024-06-10,21.39,5,0
1001|38,2024-06-11,14.13,5,0
1001|38,2024-06-12,14.81,5,0
1001|38,2024-06-13,16.49,5,0
1001|38,2024-06-14,18.25,5,0
1001|38,2024-06-15,25.98,5,0
1001|38,2024-06-16,23.28,5,0
1001|38,2024-06-17,17.04,5,0
1001|38,2024-06-18,19.40,5,0
1001|38,2024-06-19,15.20,5,0
1001|38,2024-06-20,15.26,5,0
1001|38,2024-06-21,23.90,5,0
1001|38,2024-06-22,25.93,5,0
1001|38,2024-06-23,25.64,5,0
1001|38,2024-06-24,21.83,5,0
1001|38,2024-06-25,18.85,5,0
1001|38,2024-06-26,22.97,5,0
1001|38,2024-06-27,20.52,5,0
1001|38,2024-06-28,19.76,5,0
1001|38,2024-06-29,35.04,5,0
1001|38,2024-06-30,33.02,5,0
1001|38,2024-07-01,28.84,5,0
1001|38,2024-07-02,19.95,5,0
1001|38,2024-07-03,25.18,5,0
1001|38,2024-07-04,19.55,5,0
1001|38,2024-07-05,17.47,5,0
1001|38,2024-07-06,38.74,5,0
1001|38,2024-07-07,0.00,5,1
1001|38,2024-07-08,28.19,5,0
1001|38,2024-07-09,29.19,5,0
1001|38,2024-07-10,27.26,5,0
1001|38,2024-07-11,27.08,5,0
1001|38,2024-07-12,28.83,5,0
1001|38,2024-07-13,32.71,5,0
1001|38,2024-07-14,25.69,5,0
1001|38,2024-07-15,0.00,5,1
1001|38,2024-07-16,23.13,5,0
1001|38,2024-07-17,21.04,5,0
1001|38,2024-07-18,30.79,5,0
1001|38,2024-07-19,23.83,5,0
1001|38,2024-07-20,33.69,5,0
1001|38,2024-07-21,39.09,5,0
1001|38,2024-07-22,31.85,5,0
1001|38,2024-07-23,31.11,5,0
1001|38,2024-07-24,20.60,5,0
1001|38,2024-07-25,25.96,5,0
1002|65,2024-03-28,0.55,6,0
1002|65,2024-03-29,0.38,6,0
1002|65,2024-03-30,0.00,6,1
1002|65,2024-03-31,0.56,6,1
1002|65,2024-04-01,0.48,6,0
1002|65,2024-04-02,0.55,6,0
1002|65,2024-04-03,0.64,6,0
1002|65,2024-04-04,0.00,6,1
1002|65,2024-04-05,0.62,6,0
1002|65,2024-04-06,0.88,6,0
1002|65,2024-04-07,0.00,6,0
1002|65,2024-04-08,0.64,6,0
1002|65,2024-04-09,0.60,6,0
1002|65,2024-04-10,0.48,6,0
1002|65,2024-04-11,0.52,6,0
1002|65,2024-04-12,0.58,6,0
1002|65,2024-04-13,0.62,6,0
1002|65,2024-04-14,0.69,6,0
1002|65,2024-04-15,0.74,6,0
1002|65,2024-04-16,0.51,6,0
1002|65,2024-04-17,0.64,6,0
1002|65,2024-04-18,0.63,6,0
1002|65,2024-04-19,0.49,6,0
1002|65,2024-04-20,0.72,6,0
1002|65,2024-04-21,0.94,6,0
1002|65,2024-04-22,0.74,6,0
1002|65,2024-04-23,0.69,6,0
1002|65,2024-04-24,0.69,6,0
1002|65,2024-04-25,0.55,6,1
1002|65,2024-04-26,0.51,6,0
1002|65,2024-04-27,0.83,6,0
1002|65,2024-04-28,0.77,6,0
1002|65,2024-04-29,0.65,6,0
1002|65,2024-04-30,0.68,6,0
1002|65,2024-05-01,0.52,6,0
1002|65,2024-05-02,0.00,6,0
1002|65,2024-05-03,0.55,6,0
1002|65,2024-05-04,0.96,6,0
1002|65,2024-05-05,0.65,6,0
1002|65,2024-05-06,0.64,6,0
1002|65,2024-05-07,0.64,6,0
1002|65,2024-05-08,0.64,6,0
1002|65,2024-05-09,0.76,6,0
1002|65,2024-05-10,0.54,6,0
1002|65,2024-05-11,1.01,6,0
1002|65,2024-05-12,0.81,6,0
1002|65,2024-05-13,0.87,6,0
1002|65,2024-05-14,0.48,6,0
1002|65,2024-05-15,0.68,6,0
1002|65,2024-05-16,0.62,6,0
1002|65,2024-05-17,0.73,6,0
1002|65,2024-05-18,0.93,6,0
1002|65,2024-05-19,0.95,6,0
1002|65,2024-05-20,0.88,6,0
1002|65,2024-05-21,0.60,6,0
1002|65,2024-05-22,0.64,6,0
1002|65,2024-05-23,0.72,6,0
1002|65,2024-05-24,0.74,6,0
1002|65,2024-05-25,1.12,6,0
1002|65,2024-05-26,0.00,6,0
1002|65,2024-05-27,0.93,6,0
1002|65,2024-05-28,0.00,6,1
1002|65,2024-05-29,0.68,6,0
1002|65,2024-05-30,0.67,6,0
1002|65,2024-05-31,0.74,6,0
1002|65,2024-06-01,0.71,6,0
1002|65,2024-06-02,0.86,6,0
1002|65,2024-06-03,0.82,6,0
1002|65,2024-06-04,0.00,6,0
1002|65,2024-06-05,0.78,6,0
1002|65,2024-06-06,0.87,6,0
1002|65,2024-06-07,0.82,6,0
1002|65,2024-06-08,0.82,6,0
1002|65,2024-06-09,0.93,6,0
1002|65,2024-06-10,0.95,6,0
1002|65,2024-06-11,0.00,6,1
1002|65,2024-06-12,0.81,6,0
1002|65,2024-06-13,0.81,6,0
1002|65,2024-06-14,0.00,6,1
1002|65,2024-06-15,1.10,6,0
1002|65,2024-06-16,0.93,6,0
1002|65,2024-06-17,0.68,6,0
1002|65,2024-06-18,0.93,6,0
1002|65,2024-06-19,0.91,6,0
1002|65,2024-06-20,0.81,6,1
1002|65,2024-06-21,0.67,6,0
1002|65,2024-06-22,0.99,6,0
1002|65,2024-06-23,0.89,6,0
1002|65,2024-06-24,1.03,6,0
1002|65,2024-06-25,0.73,6,0
1002|65,2024-06-26,0.92,6,0
1002|65,2024-06-27,0.82,6,0
1002|65,2024-06-28,0.91,6,0
1002|65,2024-06-29,0.93,6,0
1002|65,2024-06-30,1.03,6,1
1002|65,2024-07-01,1.12,6,0
1002|65,2024-07-02,0.66,6,0
1002|65,2024-07-03,0.70,6,0
1002|65,2024-07-04,0.61,6,0
1002|65,2024-07-05,0.66,6,0
1002|65,2024-07-06,0.95,6,0
1002|65,2024-07-07,1.15,6,0
1002|65,2024-07-08,0.80,6,0
1002|65,2024-07-09,0.81,6,0
1002|65,2024-07-10,0.95,6,0
1002|65,2024-07-11,0.68,6,0
1002|65,2024-07-12,0.73,6,0
1002|65,2024-07-13,0.85,6,0
1002|65,2024-07-14,1.36,6,0
1002|65,2024-07-15,0.00,6,1
1002|65,2024-07-16,0.00,6,0
1002|65,2024-07-17,0.75,6,0
1002|65,2024-07-18,1.04,6,0
1002|65,2024-07-19,0.67,6,0
1002|65,2024-07-20,1.14,6,0
1002|65,2024-07-21,1.20,6,0
1002|65,2024-07-22,0.95,6,0
1002|65,2024-07-23,0.98,6,1
1002|65,2024-07-24,0.92,6,0
1002|65,2024-07-25,0.80,6,0
